GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	85
KH2013:KH.C1.560	243	0
KH2013:KH.C1.907	1206	3
KH2013:KH.C1.1180	5846	1675
KH2013:KH.C1.526	2967	565
KH2013:KH.C1.183	1497	3
KH2013:KH.C1.172	2479	3561
KH2013:KH.C1.969	681	3
KH2013:KH.C1.655	2801	336
KH2013:KH.C1.962	2944	622
KH2013:KH.C1.403	406	0
KH2013:KH.C1.881	2324	114
KH2013:KH.C1.1034	1695	40
KH2013:KH.C1.165	1434	355
KH2013:KH.C1.709	986	87
KH2013:KH.C1.841	1578	19
KH2013:KH.C1.1238	2918	635
KH2013:KH.C1.443	1155	1
KH2013:KH.C1.914	1565	192
KH2013:KH.C1.150	1240	661
KH2013:KH.C1.771	2816	13
KH2013:KH.C1.110	2303	207
KH2013:KH.C1.831	638	342
KH2013:KH.C1.997	4129	1767
KH2013:KH.C1.781	1913	1
KH2013:KH.C1.15	2872	15
KH2013:KH.C1.344	2410	100
KH2013:KH.C1.269	1831	587
KH2013:KH.C1.1208	2155	61
KH2013:KH.C1.208	5895	31
KH2013:KH.C1.1011	1588	417
KH2013:KH.C1.230	1226	76
KH2013:KH.C1.516	1660	40
KH2013:KH.C1.897	1671	88
KH2013:KH.C1.821	920	127
KH2013:KH.C1.329	907	12101
KH2013:KH.C1.301	1586	334
KH2013:KH.C1.1197	2048	151
KH2013:KH.C1.593	2345	39
KH2013:KH.C1.1300	2984	511
KH2013:KH.C1.582	1789	23
KH2013:KH.C1.78	1007	197
KH2013:KH.C1.1225	1437	17
KH2013:KH.C1.671	697	13
KH2013:KH.C1.287	2021	5464
KH2013:KH.C1.869	1328	63
KH2013:KH.C1.1216	1198	1113
KH2013:KH.C1.1220	2152	33
KH2013:KH.C1.791	6664	436
KH2013:KH.C1.1166	1663	7
KH2013:KH.C1.1253	698	1
KH2013:KH.C1.139	1118	299
KH2013:KH.C1.631	3832	2962
KH2013:KH.C1.130	2557	611
KH2013:KH.C1.608	3738	630
KH2013:KH.C1.1246	640	1
KH2013:KH.C1.1202	6444	1366
KH2013:KH.C1.318	611	1
KH2013:KH.C1.1156	2481	2510
KH2013:KH.C1.568	2097	48
KH2013:KH.C1.523	2577	238
KH2013:KH.C1.996	1994	359
KH2013:KH.C1.1100	3228	708
KH2013:KH.C1.1153	1681	42
KH2013:KH.C1.114	1315	2
KH2013:KH.C1.159	1186	7410
KH2013:KH.C1.636	1430	9
KH2013:KH.C1.1256	849	21
KH2013:KH.C1.1039	2839	1189
KH2013:KH.C1.1214	1240	33
KH2013:KH.C1.56	498	18
KH2013:KH.C1.335	2790	1062
KH2013:KH.C1.714	791	150
KH2013:KH.C1.1066	1523	133
KH2013:KH.C1.816	1612	2
KH2013:KH.C1.512	1486	0
KH2013:KH.C1.375	725	1
KH2013:KH.C1.1064	1816	331
KH2013:KH.C1.1094	1883	41
KH2013:KH.C1.421	2129	205
KH2013:KH.C1.331	1067	10
KH2013:KH.C1.1000	3403	880
KH2013:KH.C1.666	1755	6
KH2013:KH.C1.588	833	2
KH2013:KH.C1.922	2172	54
KH2013:KH.C1.193	216	0
KH2013:KH.C1.10	2071	257
KH2013:KH.C1.487	3664	728
KH2013:KH.C1.927	2614	23
KH2013:KH.C1.376	2168	147
KH2013:KH.C1.912	1001	5654
KH2013:KH.C1.539	1686	1583
KH2013:KH.C1.584	1443	943
KH2013:KH.C1.352	1598	30
KH2013:KH.C1.245	1200	93
KH2013:KH.C1.96	918	2953
KH2013:KH.C1.359	2229	45
KH2013:KH.C1.596	1105	24
KH2013:KH.C1.866	1708	82
KH2013:KH.C1.858	1721	196
KH2013:KH.C1.234	871	132
KH2013:KH.C1.1155	1315	127
KH2013:KH.C1.240	2580	988
KH2013:KH.C1.177	2798	457
KH2013:KH.C1.326	3690	2884
KH2013:KH.C1.383	527	11
KH2013:KH.C1.566	581	3
KH2013:KH.C1.404	3747	1784
KH2013:KH.C1.1083	3916	694
KH2013:KH.C1.1295	936	1
KH2013:KH.C1.1067	1030	13
KH2013:KH.C1.405	1883	46
KH2013:KH.C1.577	1865	75
KH2013:KH.C1.842	1190	177
KH2013:KH.C1.476	547	6
KH2013:KH.C1.823	604	32
KH2013:KH.C1.355	1112	254
KH2013:KH.C1.1027	2171	9380
KH2013:KH.C1.970	2096	109
KH2013:KH.C1.140	1498	333
KH2013:KH.C1.1062	1510	681
KH2013:KH.C1.928	2813	22
KH2013:KH.C1.1274	1293	0
KH2013:KH.C1.538	1424	285
KH2013:KH.C1.875	1234	26
KH2013:KH.C1.1120	1067	77
KH2013:KH.C1.388	1487	591
KH2013:KH.C1.195	2961	185
KH2013:KH.C1.797	1066	23
KH2013:KH.C1.603	4639	6191
KH2013:KH.C1.483	2756	78
KH2013:KH.C1.1188	2195	6
KH2013:KH.C1.1170	1807	45
KH2013:KH.C1.445	2098	219
KH2013:KH.C1.98	3327	4104
KH2013:KH.C1.779	1414	8
KH2013:KH.C1.515	1375	25
KH2013:KH.C1.414	1704	7
KH2013:KH.C1.769	1103	11
KH2013:KH.C1.879	1125	8
KH2013:KH.C1.1287	4890	427
KH2013:KH.C1.667	805	28
KH2013:KH.C1.553	1994	70
KH2013:KH.C1.470	781	12
KH2013:KH.C1.101	1479	73
KH2013:KH.C1.82	697	279
KH2013:KH.C1.246	2225	278
KH2013:KH.C1.59	1733	393
KH2013:KH.C1.933	2577	640
KH2013:KH.C1.983	2252	2107
KH2013:KH.C1.535	2961	1535
KH2013:KH.C1.1221	1789	140
KH2013:KH.C1.936	1721	363
KH2013:KH.C1.191	623	14
KH2013:KH.C1.68	1662	33
KH2013:KH.C1.309	1082	69
KH2013:KH.C1.199	2497	571
KH2013:KH.C1.991	1124	38
KH2013:KH.C1.449	1418	6
KH2013:KH.C1.317	2162	752
KH2013:KH.C1.1152	1479	2
KH2013:KH.C1.863	1412	40
KH2013:KH.C1.1284	839	10
KH2013:KH.C1.787	5921	2719
KH2013:KH.C1.677	5403	5300
KH2013:KH.C1.809	1641	70
KH2013:KH.C1.1081	2921	677
KH2013:KH.C1.63	2224	461
KH2013:KH.C1.1122	1930	19
KH2013:KH.C1.1158	2487	1
KH2013:KH.C1.99	2564	286
KH2013:KH.C1.1053	1931	0
KH2013:KH.C1.89	1846	47
KH2013:KH.C1.633	3857	1603
