GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	25
KH2013:KH.C1.560	243	0
KH2013:KH.C1.907	1206	20
KH2013:KH.C1.1180	5846	1463
KH2013:KH.C1.526	2967	268
KH2013:KH.C1.183	1497	47
KH2013:KH.C1.172	2479	2277
KH2013:KH.C1.969	681	1
KH2013:KH.C1.655	2801	116
KH2013:KH.C1.962	2944	531
KH2013:KH.C1.403	406	0
KH2013:KH.C1.881	2324	96
KH2013:KH.C1.1034	1695	17
KH2013:KH.C1.165	1434	649
KH2013:KH.C1.709	986	41
KH2013:KH.C1.841	1578	25
KH2013:KH.C1.1238	2918	538
KH2013:KH.C1.443	1155	6
KH2013:KH.C1.914	1565	100
KH2013:KH.C1.150	1240	769
KH2013:KH.C1.771	2816	14
KH2013:KH.C1.110	2303	321
KH2013:KH.C1.831	638	245
KH2013:KH.C1.997	4129	1364
KH2013:KH.C1.781	1913	19
KH2013:KH.C1.15	2872	22
KH2013:KH.C1.344	2410	58
KH2013:KH.C1.269	1831	486
KH2013:KH.C1.1208	2155	49
KH2013:KH.C1.208	5895	62
KH2013:KH.C1.1011	1588	722
KH2013:KH.C1.230	1226	383
KH2013:KH.C1.516	1660	82
KH2013:KH.C1.897	1671	162
KH2013:KH.C1.821	920	197
KH2013:KH.C1.329	907	13788
KH2013:KH.C1.301	1586	361
KH2013:KH.C1.1197	2048	174
KH2013:KH.C1.593	2345	104
KH2013:KH.C1.1300	2984	716
KH2013:KH.C1.582	1789	30
KH2013:KH.C1.78	1007	174
KH2013:KH.C1.1225	1437	14
KH2013:KH.C1.671	697	31
KH2013:KH.C1.287	2021	8977
KH2013:KH.C1.869	1328	32
KH2013:KH.C1.1216	1198	721
KH2013:KH.C1.1220	2152	22
KH2013:KH.C1.791	6664	165
KH2013:KH.C1.1166	1663	9
KH2013:KH.C1.1253	698	2
KH2013:KH.C1.139	1118	260
KH2013:KH.C1.631	3832	1424
KH2013:KH.C1.130	2557	857
KH2013:KH.C1.608	3738	275
KH2013:KH.C1.1246	640	4
KH2013:KH.C1.1202	6444	1558
KH2013:KH.C1.318	611	0
KH2013:KH.C1.1156	2481	409
KH2013:KH.C1.568	2097	58
KH2013:KH.C1.523	2577	133
KH2013:KH.C1.996	1994	514
KH2013:KH.C1.1100	3228	51
