GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	41
KH2013:KH.C1.560	243	0
KH2013:KH.C1.907	1206	20
KH2013:KH.C1.1180	5846	3470
KH2013:KH.C1.526	2967	501
KH2013:KH.C1.183	1497	214
KH2013:KH.C1.172	2479	4126
KH2013:KH.C1.969	681	8
KH2013:KH.C1.655	2801	843
KH2013:KH.C1.962	2944	811
KH2013:KH.C1.403	406	6
KH2013:KH.C1.881	2324	423
KH2013:KH.C1.1034	1695	63
KH2013:KH.C1.165	1434	1627
KH2013:KH.C1.709	986	76
KH2013:KH.C1.841	1578	104
KH2013:KH.C1.1238	2918	1135
KH2013:KH.C1.443	1155	49
KH2013:KH.C1.914	1565	409
KH2013:KH.C1.150	1240	1464
KH2013:KH.C1.771	2816	65
KH2013:KH.C1.110	2303	781
KH2013:KH.C1.831	638	1819
KH2013:KH.C1.997	4129	2467
KH2013:KH.C1.781	1913	4
KH2013:KH.C1.15	2872	68
KH2013:KH.C1.344	2410	104
KH2013:KH.C1.269	1831	1005
KH2013:KH.C1.1208	2155	165
KH2013:KH.C1.208	5895	129
KH2013:KH.C1.1011	1588	1439
KH2013:KH.C1.230	1226	577
KH2013:KH.C1.516	1660	373
KH2013:KH.C1.897	1671	332
KH2013:KH.C1.821	920	461
KH2013:KH.C1.329	907	25783
KH2013:KH.C1.301	1586	503
KH2013:KH.C1.1197	2048	323
KH2013:KH.C1.593	2345	209
KH2013:KH.C1.1300	2984	927
KH2013:KH.C1.582	1789	18
KH2013:KH.C1.78	1007	362
KH2013:KH.C1.1225	1437	146
KH2013:KH.C1.671	697	192
KH2013:KH.C1.287	2021	21993
KH2013:KH.C1.869	1328	77
KH2013:KH.C1.1216	1198	2012
KH2013:KH.C1.1220	2152	100
KH2013:KH.C1.791	6664	395
KH2013:KH.C1.1166	1663	47
KH2013:KH.C1.1253	698	49
KH2013:KH.C1.139	1118	770
KH2013:KH.C1.631	3832	2352
KH2013:KH.C1.130	2557	1446
KH2013:KH.C1.608	3738	809
KH2013:KH.C1.1246	640	8
KH2013:KH.C1.1202	6444	2872
KH2013:KH.C1.318	611	4
KH2013:KH.C1.1156	2481	696
KH2013:KH.C1.568	2097	324
KH2013:KH.C1.523	2577	247
KH2013:KH.C1.996	1994	1940
KH2013:KH.C1.1100	3228	213
KH2013:KH.C1.1153	1681	10
KH2013:KH.C1.114	1315	0
KH2013:KH.C1.159	1186	2413
KH2013:KH.C1.636	1430	47
KH2013:KH.C1.1256	849	3
KH2013:KH.C1.1039	2839	2959
KH2013:KH.C1.1214	1240	62
KH2013:KH.C1.56	498	23
KH2013:KH.C1.335	2790	1159
KH2013:KH.C1.714	791	262
KH2013:KH.C1.1066	1523	250
KH2013:KH.C1.816	1612	105
KH2013:KH.C1.512	1486	38
KH2013:KH.C1.375	725	0
KH2013:KH.C1.1064	1816	426
KH2013:KH.C1.1094	1883	62
KH2013:KH.C1.421	2129	636
KH2013:KH.C1.331	1067	94
KH2013:KH.C1.1000	3403	1254
KH2013:KH.C1.666	1755	129
KH2013:KH.C1.588	833	24
