GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	23
KH2013:KH.C1.560	243	0
KH2013:KH.C1.907	1206	2
KH2013:KH.C1.1180	5846	768
KH2013:KH.C1.526	2967	318
KH2013:KH.C1.183	1497	10
KH2013:KH.C1.172	2479	1509
KH2013:KH.C1.969	681	0
KH2013:KH.C1.655	2801	94
KH2013:KH.C1.962	2944	280
KH2013:KH.C1.403	406	0
KH2013:KH.C1.881	2324	40
KH2013:KH.C1.1034	1695	6
KH2013:KH.C1.165	1434	424
KH2013:KH.C1.709	986	11
KH2013:KH.C1.841	1578	10
KH2013:KH.C1.1238	2918	342
KH2013:KH.C1.443	1155	0
KH2013:KH.C1.914	1565	85
KH2013:KH.C1.150	1240	298
KH2013:KH.C1.771	2816	10
KH2013:KH.C1.110	2303	111
KH2013:KH.C1.831	638	186
KH2013:KH.C1.997	4129	865
KH2013:KH.C1.781	1913	5
KH2013:KH.C1.15	2872	9
KH2013:KH.C1.344	2410	24
KH2013:KH.C1.269	1831	193
KH2013:KH.C1.1208	2155	62
KH2013:KH.C1.208	5895	64
KH2013:KH.C1.1011	1588	218
KH2013:KH.C1.230	1226	102
KH2013:KH.C1.516	1660	48
KH2013:KH.C1.897	1671	50
KH2013:KH.C1.821	920	67
KH2013:KH.C1.329	907	5589
KH2013:KH.C1.301	1586	192
KH2013:KH.C1.1197	2048	258
KH2013:KH.C1.593	2345	11
KH2013:KH.C1.1300	2984	479
KH2013:KH.C1.582	1789	3
KH2013:KH.C1.78	1007	108
KH2013:KH.C1.1225	1437	15
KH2013:KH.C1.671	697	24
KH2013:KH.C1.287	2021	2867
KH2013:KH.C1.869	1328	1
KH2013:KH.C1.1216	1198	359
KH2013:KH.C1.1220	2152	2
KH2013:KH.C1.791	6664	165
KH2013:KH.C1.1166	1663	20
KH2013:KH.C1.1253	698	1
KH2013:KH.C1.139	1118	150
KH2013:KH.C1.631	3832	4407
KH2013:KH.C1.130	2557	387
KH2013:KH.C1.608	3738	99
KH2013:KH.C1.1246	640	0
KH2013:KH.C1.1202	6444	1080
KH2013:KH.C1.318	611	5
KH2013:KH.C1.1156	2481	6639
KH2013:KH.C1.568	2097	80
KH2013:KH.C1.523	2577	42
KH2013:KH.C1.996	1994	243
KH2013:KH.C1.1100	3228	266
KH2013:KH.C1.1153	1681	19
KH2013:KH.C1.114	1315	3
KH2013:KH.C1.159	1186	3966
KH2013:KH.C1.636	1430	7
KH2013:KH.C1.1256	849	11
KH2013:KH.C1.1039	2839	519
KH2013:KH.C1.1214	1240	56
KH2013:KH.C1.56	498	24
KH2013:KH.C1.335	2790	413
KH2013:KH.C1.714	791	223
KH2013:KH.C1.1066	1523	50
KH2013:KH.C1.816	1612	4
KH2013:KH.C1.512	1486	2
KH2013:KH.C1.375	725	2
KH2013:KH.C1.1064	1816	138
KH2013:KH.C1.1094	1883	1
KH2013:KH.C1.421	2129	79
KH2013:KH.C1.331	1067	26
KH2013:KH.C1.1000	3403	501
KH2013:KH.C1.666	1755	15
KH2013:KH.C1.588	833	0
KH2013:KH.C1.922	2172	13
KH2013:KH.C1.193	216	0
KH2013:KH.C1.10	2071	209
KH2013:KH.C1.487	3664	338
KH2013:KH.C1.927	2614	13
KH2013:KH.C1.376	2168	145
KH2013:KH.C1.912	1001	3505
KH2013:KH.C1.539	1686	913
KH2013:KH.C1.584	1443	398
KH2013:KH.C1.352	1598	27
KH2013:KH.C1.245	1200	40
KH2013:KH.C1.96	918	1841
KH2013:KH.C1.359	2229	51
KH2013:KH.C1.596	1105	95
KH2013:KH.C1.866	1708	17
KH2013:KH.C1.858	1721	225
KH2013:KH.C1.234	871	71
KH2013:KH.C1.1155	1315	32
KH2013:KH.C1.240	2580	854
KH2013:KH.C1.177	2798	194
KH2013:KH.C1.326	3690	1523
KH2013:KH.C1.383	527	5
KH2013:KH.C1.566	581	4
KH2013:KH.C1.404	3747	1233
KH2013:KH.C1.1083	3916	536
KH2013:KH.C1.1295	936	0
KH2013:KH.C1.1067	1030	0
KH2013:KH.C1.405	1883	37
KH2013:KH.C1.577	1865	21
KH2013:KH.C1.842	1190	67
KH2013:KH.C1.476	547	11
KH2013:KH.C1.823	604	11
KH2013:KH.C1.355	1112	72
KH2013:KH.C1.1027	2171	4833
KH2013:KH.C1.970	2096	55
KH2013:KH.C1.140	1498	97
KH2013:KH.C1.1062	1510	265
KH2013:KH.C1.928	2813	1
KH2013:KH.C1.1274	1293	0
KH2013:KH.C1.538	1424	176
KH2013:KH.C1.875	1234	26
KH2013:KH.C1.1120	1067	60
KH2013:KH.C1.388	1487	456
KH2013:KH.C1.195	2961	115
KH2013:KH.C1.797	1066	12
KH2013:KH.C1.603	4639	5697
KH2013:KH.C1.483	2756	21
KH2013:KH.C1.1188	2195	0
KH2013:KH.C1.1170	1807	0
KH2013:KH.C1.445	2098	7
KH2013:KH.C1.98	3327	1587
KH2013:KH.C1.779	1414	12
KH2013:KH.C1.515	1375	10
KH2013:KH.C1.414	1704	9
KH2013:KH.C1.769	1103	0
KH2013:KH.C1.879	1125	0
KH2013:KH.C1.1287	4890	244
KH2013:KH.C1.667	805	21
KH2013:KH.C1.553	1994	8
KH2013:KH.C1.470	781	5
KH2013:KH.C1.101	1479	81
KH2013:KH.C1.82	697	188
KH2013:KH.C1.246	2225	149
KH2013:KH.C1.59	1733	268
KH2013:KH.C1.933	2577	400
KH2013:KH.C1.983	2252	1641
KH2013:KH.C1.535	2961	895
KH2013:KH.C1.1221	1789	53
KH2013:KH.C1.936	1721	221
KH2013:KH.C1.191	623	3
KH2013:KH.C1.68	1662	54
KH2013:KH.C1.309	1082	75
KH2013:KH.C1.199	2497	298
KH2013:KH.C1.991	1124	51
KH2013:KH.C1.449	1418	3
KH2013:KH.C1.317	2162	612
KH2013:KH.C1.1152	1479	0
KH2013:KH.C1.863	1412	26
KH2013:KH.C1.1284	839	15
KH2013:KH.C1.787	5921	1837
KH2013:KH.C1.677	5403	4063
KH2013:KH.C1.809	1641	23
KH2013:KH.C1.1081	2921	547
KH2013:KH.C1.63	2224	229
KH2013:KH.C1.1122	1930	3
KH2013:KH.C1.1158	2487	1
KH2013:KH.C1.99	2564	333
KH2013:KH.C1.1053	1931	0
KH2013:KH.C1.89	1846	46
KH2013:KH.C1.633	3857	1761
KH2013:KH.C1.4	2005	813
KH2013:KH.C1.898	2908	212
KH2013:KH.C1.628	1174	139
KH2013:KH.C1.884	1969	317
KH2013:KH.C1.484	1397	78
KH2013:KH.C1.574	1455	7701
KH2013:KH.C1.733	516	23
KH2013:KH.C1.100	348	1
KH2013:KH.C1.1279	438	0
KH2013:KH.C1.1268	423	0
KH2013:KH.C1.1192	392	5
KH2013:KH.C1.187	2678	228
KH2013:KH.C1.546	2677	1148
KH2013:KH.C1.128	122	0
KH2013:KH.C1.1012	1096	276
KH2013:KH.C1.1109	3157	92
KH2013:KH.C1.158	2767	11
KH2013:KH.C1.485	318	0
KH2013:KH.C1.461	1014	1
KH2013:KH.C1.805	1215	11
KH2013:KH.C1.749	2734	71
KH2013:KH.C1.481	1081	114
KH2013:KH.C1.1014	935	8
KH2013:KH.C1.540	860	1
KH2013:KH.C1.637	4236	1440
KH2013:KH.C1.867	2170	159
KH2013:KH.C1.119	636	0
KH2013:KH.C1.746	1711	9
KH2013:KH.C1.220	1074	45
KH2013:KH.C1.670	1119	183
KH2013:KH.C1.832	2124	49
KH2013:KH.C1.1276	1668	1
KH2013:KH.C1.1157	3012	312
KH2013:KH.C1.285	4076	76
KH2013:KH.C1.583	3444	184
KH2013:KH.C1.1045	2415	796
KH2013:KH.C1.430	1570	25
KH2013:KH.C1.1275	1509	1465
KH2013:KH.C1.1224	3339	751
KH2013:KH.C1.146	3995	688
KH2013:KH.C1.1075	1570	13
KH2013:KH.C1.913	1475	0
KH2013:KH.C1.993	8300	305
KH2013:KH.C1.47	1339	2
KH2013:KH.C1.1302	735	16
KH2013:KH.C1.411	778	75
KH2013:KH.C1.124	2374	2621
KH2013:KH.C1.178	1127	7
KH2013:KH.C1.1270	807	5
KH2013:KH.C1.1121	1546	17
KH2013:KH.C1.147	4942	12
KH2013:KH.C1.974	1076	0
KH2013:KH.C1.133	1682	4576
KH2013:KH.C1.252	1636	1287
KH2013:KH.C1.999	1625	1
KH2013:KH.C1.142	4936	8086
KH2013:KH.C1.113	4446	12919
KH2013:KH.C1.1247	1431	109
KH2013:KH.C1.308	1513	7
KH2013:KH.C1.5	5068	26
KH2013:KH.C1.272	1869	11
KH2013:KH.C1.108	1216	156
KH2013:KH.C1.563	1403	0
KH2013:KH.C1.847	1348	0
KH2013:KH.C1.25	1510	3
KH2013:KH.C1.855	1057	0
KH2013:KH.C1.891	1124	6
KH2013:KH.C1.1028	1220	2
KH2013:KH.C1.857	1328	1
KH2013:KH.C1.1255	786	1
KH2013:KH.C1.475	1361	3
KH2013:KH.C1.595	1281	1
KH2013:KH.C1.1169	953	136
KH2013:KH.C1.729	2466	131
KH2013:KH.C1.880	3335	206
KH2013:KH.C1.1144	1395	26
KH2013:KH.C1.1235	2094	119
KH2013:KH.C1.550	956	59
KH2013:KH.C1.1138	2758	1057
KH2013:KH.C1.92	3456	851
KH2013:KH.C1.48	2980	49
KH2013:KH.C1.496	3541	14
KH2013:KH.C1.838	664	0
KH2013:KH.C1.605	908	96
KH2013:KH.C1.80	2628	544
KH2013:KH.C1.1160	3361	963
KH2013:KH.C1.597	1644	4
KH2013:KH.C1.1139	1920	0
KH2013:KH.C1.399	2075	421
KH2013:KH.C1.310	3097	23
KH2013:KH.C1.254	495	8
KH2013:KH.C1.915	1017	0
KH2013:KH.C1.1117	1697	23
KH2013:KH.C1.1065	3121	845
KH2013:KH.C1.1165	2066	96
KH2013:KH.C1.635	418	3
KH2013:KH.C1.151	1240	25
KH2013:KH.C1.1035	892	0
KH2013:KH.C1.357	957	0
KH2013:KH.C1.381	889	11
KH2013:KH.C1.33	1833	28
KH2013:KH.C1.957	318	6
KH2013:KH.C1.1228	728	0
KH2013:KH.C1.1219	6023	476
KH2013:KH.C1.265	1280	11
KH2013:KH.C1.930	1251	416
KH2013:KH.C1.226	2274	324
KH2013:KH.C1.237	1119	28
KH2013:KH.C1.1082	1583	79
KH2013:KH.C1.149	2251	73
KH2013:KH.C1.256	900	134
KH2013:KH.C1.1103	1359	57
KH2013:KH.C1.542	1791	216
KH2013:KH.C1.469	834	29
KH2013:KH.C1.724	1553	36
KH2013:KH.C1.661	2462	2172
KH2013:KH.C1.629	1056	0
KH2013:KH.C1.489	1339	2
KH2013:KH.C1.1250	1344	60
KH2013:KH.C1.486	1043	37
KH2013:KH.C1.520	696	49
KH2013:KH.C1.543	1600	45
KH2013:KH.C1.1248	1356	33
KH2013:KH.C1.827	356	11
KH2013:KH.C1.973	1257	4
KH2013:KH.C1.379	1120	14
